300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,950 sq. ft,$3500
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,Studio,1 Bathroom,520 sq. ft,$1300
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,920 sq. ft,$1351
3707 Nobel Dr San Diego CA 92122,11.1 Miles - Walk Score: 69,1 Bedroom,1 Bathroom,642 sq. ft,$1572
3707 Nobel Dr San Diego CA 92122,11.1 Miles - Walk Score: 69,1 Bedroom,1 Bathroom,575 sq. ft,$1620
3707 Nobel Dr San Diego CA 92122,11.1 Miles - Walk Score: 69,2 Bedroom,1 Bathroom,855 sq. ft,$1562
3707 Nobel Dr San Diego CA 92122,11.1 Miles - Walk Score: 69,1 Bedroom,1 Bathroom,809 sq. ft,$1704
3707 Nobel Dr San Diego CA 92122,11.1 Miles - Walk Score: 69,2 Bedroom,2 Bathroom,858 sq. ft,$1525
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,950 sq. ft,$3500
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,800 sq. ft,$1125
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,950 sq. ft,$3500
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,910 sq. ft,$1785
9830 Reagan Rd San Diego CA 92126,13.4 Miles - Walk Score: 69,1 Bedroom,1 Bathroom,653 sq. ft,$1563
9830 Reagan Rd San Diego CA 92126,13.4 Miles - Walk Score: 69,2 Bedroom,2 Bathroom,950 sq. ft,$1980
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,950 sq. ft,$3500
9870 Mercy Rd San Diego CA 92129,15.6 Miles - Walk Score: 37,2 Bedroom,2 Bathroom,900 sq. ft,$1830
9870 Mercy Rd San Diego CA 92129,15.6 Miles - Walk Score: 37,2 Bedroom,2 Bathroom,1100 sq. ft,$2005
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,950 sq. ft,$3500
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,3 Bedroom,2 Bathroom,1400 sq. ft,$1325
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,950 sq. ft,$3500
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,1 Bedroom,1 Bathroom,615 sq. ft,$1240
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,1 Bedroom,1 Bathroom,730 sq. ft,$2060
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,1 Bedroom,1 Bathroom,626 sq. ft,$1260
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,3 Bedroom,2 Bathroom,1840 sq. ft,$2495
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,950 sq. ft,$3500
700 W E Street San Diego CA 92101,0.1 Miles - Walk Score: 99,2 Bedroom,2 Bathroom,1161 sq. ft,$3200
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,950 sq. ft,$3500
700 W E Street San Diego CA 92101,0.1 Miles - Walk Score: 99,2 Bedroom,2 Bathroom,1370 sq. ft,$3700
700 W E Street San Diego CA 92101,0.1 Miles - Walk Score: 99,2 Bedroom,2 Bathroom,1452 sq. ft,$5000
San Diego CA 92101,0.1 Miles - Walk Score: 99,2 Bedroom,2 Bathroom,1215 sq. ft,$3750
920 E Street San Diego CA 92101,0.1 Miles - Walk Score: 97,Studio,1 Bathroom,760 sq. ft,$1495
300 W Beech St San Diego CA 92101,0.6 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,950 sq. ft,$3500
1007 5th Ave San Diego CA 92101,0.1 Miles - Walk Score: 100,Studio,1 Bathroom,765 sq. ft,$1982
1007 5th Ave San Diego CA 92101,0.1 Miles - Walk Score: 100,Studio,1 Bathroom,794 sq. ft,$1867
1007 5th Ave San Diego CA 92101,0.1 Miles - Walk Score: 100,Studio,1 Bathroom,843 sq. ft,$2142
1007 5th Ave San Diego CA 92101,0.1 Miles - Walk Score: 100,Studio,1 Bathroom,794 sq. ft,$1792
